frame,time,temp,a0,temp_pres,pressure,altitude,humidity,temp_hum
0,574,85.00,1023,22.40,99470,156.11, NAN, NAN
1,1186,85.00,1021,22.40,99465,156.28, NAN, NAN
2,1799,24.13,1023,22.40,99467,156.36, NAN, NAN
3,2411,24.13,1023,22.40,99468,156.19, NAN, NAN
4,3026,24.19,1023,22.40,99466,156.11,26.70,22.70
5,3639,24.19,1023,22.40,99468,156.19,26.70,22.70
6,4250,24.19,1023,22.40,99466,156.11,26.70,22.70
7,4862,24.19,1023,22.40,99463,156.62,26.70,22.70
8,5478,24.19,1023,22.40,99470,156.11,28.00,22.70
9,6090,24.19,1022,22.40,99471,156.28,28.00,22.70
10,6711,24.19,1023,22.40,99467,155.77,28.00,22.70
11,7322,24.19,1023,22.40,99469,155.77,28.00,22.70
12,7938,24.19,1023,22.40,99468,155.94,28.00,22.70
13,8550,24.19,1023,22.40,99468,155.94,28.00,22.70
14,9162,24.19,1023,22.40,99466,156.02,28.00,22.70
15,9775,24.19,1023,22.40,99467,156.19,28.00,22.70
16,10390,24.19,1023,22.40,99471,156.36,28.00,22.70
17,11002,24.19,1023,22.40,99472,155.94,28.00,22.70
18,11615,24.19,1023,22.40,99470,156.02,28.00,22.70
19,12227,24.19,1022,22.40,99470,155.35,28.00,22.70
20,12851,24.19,1023,22.40,99471,155.77,27.90,22.70
21,13463,24.19,1023,22.40,99473,155.60,27.90,22.70
22,14075,24.19,1023,22.40,99468,156.02,27.90,22.70
23,14688,24.19,1023,22.40,99468,155.77,27.90,22.70
24,15302,24.19,1023,22.40,99470,155.77,27.90,22.70
25,15915,24.19,1021,22.40,99470,155.52,27.90,22.70
26,16527,24.19,1023,22.40,99468,155.77,27.90,22.70
27,17138,24.19,1023,22.40,99467,155.77,27.90,22.70
28,17755,24.19,1022,22.40,99473,155.35,27.90,22.70
29,18375,24.19,1023,22.40,99467,155.60,27.90,22.70
30,18987,24.19,1023,22.40,99467,155.85,27.90,22.70
31,19599,24.19,1022,22.40,99469,155.85,27.90,22.70
32,20214,24.19,1023,22.40,99468,155.77,27.90,22.70
33,20827,24.19,1023,22.40,99475,155.52,27.90,22.70
34,21439,24.19,1023,22.40,99475,155.77,27.90,22.70
35,22051,24.19,1023,22.40,99469,155.69,27.90,22.70
36,22667,24.19,1023,22.40,99468,155.77,27.90,22.70
37,23279,24.19,1023,22.40,99463,155.77,27.90,22.70
